indices,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
12,-0.001981767174586,0.071700937281924,-0.14985247704512,0.023022525549448,0.009755000325208,0.231324768893691,0.084404912580161,-0.080272389984834,0.194362533289662,0.035301740676575,0.000844326036117,-0.007875263979313,0.128422427195766,0.169231269567907,0.174232879118098,0.017380125464892,0.051290375104065,0.039318859855358,0.005151501234437,0.002163287059504,0.078573435713455,0.264882300122847,0.436325746281307,0.174889220725085,0.156496922507477,0.038237932471018,1.200140039865,0.52317632069018,0.202060311836326,0.114404335327131,0.093880177061192,1.20042876829596,0.966570413443242,0.123772790209044,0.66435162294771,0.45084839881459,1.0928702530932,0.114586914681687,0.486978204521838,1.61879884030226,0.443485955686814,1.61832940659602,0.208075362361336,1.76634865485243,1.87319854809197,1.98214009743639,1.62324048880625,1.72668244840318,2.06417145283942,1.27443103047754
13,-0.0000937,0.208360962027704,0.334613027070138,0.170130225808615,0.004020641167824,-0.234291113648613,0.076216806558288,0.619657494154413,0.744359939227973,0.510381649497305,0.013033672391028,0.034366130418313,0.114985605017904,0.498286297063598,0.264072401384345,-0.038248421643007,0.89546884773656,0.183263258009162,0.016464629774465,-0.045086863331291,0.023149714866606,0.152808151922104,0.521715295150521,0.052958403740111,0.416821820309279,0.267487904801669,1.22545319594673,0.348065655819639,0.266363994423674,0.116039246857458,0.156865408631464,0.003573584059413,0.661463979549387,0.358953595901814,0.510616306207782,0.961378644686258,0.613144727209011,0.087307011009338,0.208318211483798,1.41349223498687,0.495363707491211,2.38818462980381,0.225990103658697,2.15956627922189,1.80458261484778,1.99828514288339,1.03814593267232,1.95235964639546,2.66308978698203,1.63595444507907
14,0.001678068316708,0.128268057705377,-0.192337900843558,-0.067148324157929,-0.030615243285227,0.907358957247745,0.153066857109122,0.711620018563909,0.177332248866516,0.140324463489688,0.011332658139769,-0.032552365406941,-0.065837196261248,0.89406623273839,0.81769265365785,0.241913195668089,1.43997981038405,0.176181606389634,0.028319895886232,0.492627672801603,0.063004502337942,0.551939894059988,1.07424749324662,0.269429743112374,0.403036686865393,0.334655299245456,0.106100492179778,0.774375826168191,0.28376599512357,0.045069597253058,0.107817499169168,0.785575746614793,0.427183915554865,0.082138914934451,0.283422818636775,0.321987033630301,0.445630352028075,0.016369700248427,0.12304098496297,1.5827676024908,0.547934269714775,1.99806607348771,0.228676793591013,2.26726013646968,1.38701848225125,2.1047693760157,1.65355981582269,1.77329558216591,2.78910937342809,1.41197783854868
15,0.00173418269386,-0.101804016933148,0.054723015224928,0.069403195729589,-0.034103313172885,0.423627698488095,0.184511355497175,0.329510015140309,-0.276130179345932,0.610340070711788,0.016675154451617,-0.000727600998792,0.251506485408631,1.0466772026616,0.801054318737806,0.250830088105569,0.842588910412427,0.244924368970669,0.030155355685919,0.622720762536279,0.119180142543939,0.57244783132599,1.61729877165993,0.187111905909058,0.273035293409376,0.358684570890496,-0.087391806613913,0.003130921699487,0.017652116919458,0.048513027242975,0.054814982088152,0.403309906591569,0.226246199534122,-0.082362663050192,-0.005094096214766,0.198713183121059,0.132546060032289,0.011461202642261,0.081209287471556,1.68717691616098,0.568497576839393,2.32846922651472,0.230711153972096,1.55351633626495,1.40214372183818,1.72666378293727,1.40689361028491,2.01281623367337,1.97724858592611,1.18032859306037
16,-0.00437865280777,0.166984735616161,-0.04192140122436,-0.024285476538078,0.027448896608476,-0.286470881613428,0.062563409696429,0.455759446307292,0.29958764519131,0.248704015727754,-0.02789440672233,-0.016865451498825,0.166415599493797,0.869350092221945,1.21615834940855,0.134211122431841,1.2287733935494,0.185558663249452,0.033092147277566,0.462547883346823,0.119068987440872,0.605177843774784,0.730929611195447,0.255399499486919,0.446257676792747,0.282098358658009,0.693289065073896,-0.069800116867393,0.168653661473945,-0.066015356551239,0.089307903222336,0.332665422345795,0.146384984413818,0.018436989910495,0.249175667588386,-0.020577090960944,0.326006162415522,0.01307706317289,0.167398167603351,1.73659465923397,0.459873354751139,2.14183407313722,0.150173680707449,1.66093078371479,1.18801078561169,2.13066231442978,0.847845314713857,2.05205935250131,2.0704019339485,1.11004478173986
17,0.002002594320856,0.100919931994003,-0.083285304441636,0.009292711762876,-0.088653073925107,0.346686336599309,0.12897743258986,-0.239881633538819,0.225086685729847,0.223309682047862,0.055228104608297,0.053970088707125,0.081222487759562,0.864582461328245,0.607850530279009,0.316781007230087,1.08420140510672,0.186231540727402,0.026026973653977,0.806292610862247,0.198200350219329,0.802066096171649,1.18952166159357,0.236730141422923,0.530883564587266,0.377258304433815,0.356690257002306,0.031469832895646,0.027756462709849,0.046148940416658,0.014127582849008,0.226524504656175,0.180219142352381,-0.094673977058372,-0.05996307785156,-0.024591085560604,0.020915493702744,-0.013273022765419,0.079456096701425,0.816176052048362,0.491641003313864,1.77285968620397,0.199173835973272,1.56541854535216,1.47935763948455,2.03660324331373,1.10815145328244,0.879067078736144,1.86555488070584,1.27467002309092
18,0.000996443996488,-0.006563126515232,-0.092267713877879,0.021516156571365,-0.041343163983913,0.3323232866292,0.346535652676621,0.596935696059789,0.462773571562782,0.242289676687107,0.00569115737793,0.020203973598936,-0.184850062096035,1.23263792575623,1.38348686481805,0.242091269162689,1.77846601152579,0.305799264472965,0.021001752197841,0.547317750627315,0.108673185541661,0.441587984316572,1.05096228962228,0.27299046360304,0.441528946328563,0.636708503673042,-0.510267841220251,0.054142830153468,-0.129173279095222,-0.050982448538922,0.039504051132705,-0.243520365774976,-0.008477189717645,-0.064055713543645,-0.076244458226577,-0.435789743633877,0.310875001476912,0.054554827926818,-0.193693024683128,1.16762194515002,0.518687567716893,1.47191313646125,0.14787042332182,1.26212887366424,1.2207329795952,1.9694479859723,0.96456481898063,1.22421588974655,1.9332817809422,1.09079765316419
19,-0.001047751173653,-0.197144520933968,-0.112071957564127,0.016390851752509,-0.006112640540355,0.014716492159188,0.260838010182397,-0.232687962369465,0.229319948943172,0.02067477578706,-0.014264338937229,0.006842304068767,-0.330723435873554,1.3173064954092,1.48955436632236,0.291486245012798,0.84850539157915,0.252155828940522,0.029801966657015,0.692267566476502,0.125530063027496,0.704171790618095,1.5024972301265,0.264677548909958,0.555278689464197,0.436503649042959,-0.901277528525398,0.120475241298557,0.081713207971315,-0.023323775081694,-0.012474534654667,-0.00410113237765,-0.375510535734573,0.063154200393404,-0.249196475081652,-0.108905845432783,-0.132406369127257,0.000661002374181,0.035863782416705,1.34477986832544,0.39864448565593,1.06861760997375,0.178776639609554,0.709179330353291,1.27772361795388,1.67547597857049,1.12452419615248,1.45501797199797,2.15054543025363,0.923842885995744
20,-0.000695546198786,-0.290473244214418,-0.379974381182338,0.017949177978064,-0.031364098332448,-0.229872109978352,-0.124381328752596,-0.030856364187035,-0.025280108866028,-0.405821519881476,-0.008059369182369,-0.009556012398291,-0.088793974342812,0.745965668719964,1.25765158853096,0.233665834438932,1.09336928324286,0.219398262275984,0.032854726721728,0.766146674088935,0.093939124713755,0.584182050717771,1.03289080784472,0.208632426980544,0.413667266120406,0.38422550685467,-0.291800092942535,-0.214529523664902,0.036330254508361,-0.009494072617222,-0.032374839936702,-0.980312919306614,-0.371924692414172,-0.056391440316222,0.249178065392803,-0.348433564909546,-0.162330392010642,-0.038725872851581,-0.280534519913723,1.27233370196472,0.560593168132439,1.53985324883829,0.182579931893623,1.51786954368961,1.40624829266414,1.66369091339749,1.14933510303375,1.08852714233771,1.87494826863525,1.04485349860293
21,-0.001956390534126,-0.17133838409211,-0.102833765799662,-0.115926015864023,-0.0322835511299,0.303944271986426,-0.132779691869777,0.113239571536158,-0.008063318943119,0.36424769241879,-0.027651568757037,-0.031559573200112,0.192705436446715,0.338037899945101,1.19295258606701,0.182747548896897,0.832374385982683,0.11066812872361,0.011206102511644,0.111276286503421,0.075081434862877,0.452072460010288,0.946976322984571,0.119928747118361,0.106777274633544,0.136844187585798,-0.463999694209262,-0.312800986143073,-0.183942071697071,-0.062293768490271,-0.113837516659226,-0.758320334547398,-0.236761457850181,-0.116429909435469,-0.725759595573322,-0.676778935387101,-0.903274743743675,-0.005381949733755,-0.345788436981,0.680371359393945,0.36278849070429,2.17550708246016,0.141078646063349,1.81559765566015,1.73105922339671,1.91003846749922,0.907269264266381,1.23557711250883,2.16352245988816,0.496541079379925
